================================================================================
SECTOR SPLIT SUMMARY
================================================================================

Total records in dataset: 2,456,350
Number of sectors: 1135

Summary by sector:

                                       sector_name  num_companies  percentage
                   hotels_et_hebergement_similaire              1        0.00
  conception_developpement_et_commercialisation_du              1        0.00
 realisation_doperation_de_marchand_de_biens_immob              1        0.00
 la_production_photographique_la_production_photog              1        0.00
entreprise_neerlandaise_de_conseil_sur_le_developp              1        0.00
  solutions_pour_les_services_de_leau_et_de_lassai              1        0.00
                service_des_eaux_et_assainissement              1        0.00
                            cabinet_de_recrutement              1        0.00
  specialiste_des_composants_plastiques_dapparence              1        0.00
               plateforme_de_demenagement_en_ligne              1        0.00
                         ivraison_de_colis_express              1        0.00
                   fabricant_de_portes_et_fenetres              1        0.00
 services_dagregation_de_paiement_en_ligne_pour_le              1        0.00
preparation_aux_differents_types_de_permis_de_cond              1        0.00
                                         uber_eats              1        0.00
 promotion_de_tous_complexes_touristiques_hotelier              1        0.00
                           diffusion_audiovisuelle              1        0.00
fournisseur_de_solutions_client_et_de_services_ene              1        0.00
              import_export_aliment_non_reglemente              1        0.00
 medecine_recherche_et_enseignement_de_haut_niveau              1        0.00
 prestations_de_services_secretariat_et_traduction              1        0.00
 conseil_en_prestation_intellectuelle_developpemen              1        0.00
 societe_dinvestissement_fournissant_des_fonds_a_d              1        0.00
            producteur_de_mortiers_prets_a_lemploi              1        0.00
   le_recrutement_la_chasse_de_tete_levaluation_de              1        0.00
   culture_de_legumes_melons_racines_et_tubercules              1        0.00
 reprographie_imprimes_reproduction_services_march              1        0.00
 production_de_malt_artisanal_production_de_malt_a              1        0.00
distributeur_de_solutions_pour_le_bien_etre_au_tra              1        0.00
  preparation_et_livraison_de_repas_preparation_et              1        0.00
               distributeur_de_materiel_electrique              1        0.00
                                        fromagerie              1        0.00
 peintre_en_lettres_decoration_panneaux_services_m              1        0.00
etablissement_public_espagnol_charge_de_gerer_le_r              1        0.00
 accueil_telephonique_et_prise_de_rendez_vous_accu              1        0.00
                    marchands_de_biens_immobiliers              1        0.00
 production_et_commercialisation_dhuiles_vegetales              1        0.00
                          dechets_et_environnement              1        0.00
     instalreparentretde_materteleph_alar_services              1        0.00
 groupement_dentreprises_detenu_par_la_famille_fet              1        0.00
conception_et_production_de_pieces_en_caoutchouc_e              1        0.00
                createurs_des_jeux_mobiles_songpop              1        0.00
